131072,the sound made by breathing in; oh! (cf. u+311b bopomofo letter o, which is derived from this character) | cjk ideograph
142059,(cant.) to rub | cjk ideograph
142082,firm hand | cjk ideograph
142143,(cant.) sections or wedges (as of fruit); to take in the hand; to use | cjk ideograph
142147,(cant.) to touch; to bump into; to take, get, receive; to lightly support something with the hand | cjk ideograph
142150,to draw out; to levy; to strike | cjk ideograph
142225,(cant.) classifier for lengths of cylindrically shaped objects | cjk ideograph
142282,(cant.) determination, resolution | cjk ideograph
142286,(cant.) to scratch | cjk ideograph
142321,public opinion; to assemble; to seek | cjk ideograph
142322,wrist | cjk ideograph
142392,(cant.) rotten, bad, spoiled | cjk ideograph
142398,general, overall, chief | cjk ideograph
142417,(cant.) to scratch | cjk ideograph
142421,(cant.) to beat, pound; to get drenched | cjk ideograph
142431,to strike, flog | cjk ideograph
142434,to select; (cant.) a wedge of a fruit such as an orange | cjk ideograph
142472,to tie a knot; join or tie fast | cjk ideograph
142497,(cant.) to grab with the hands; and, with | cjk ideograph
142505,(cant.) to affix a chop or seal to a document | cjk ideograph
142514,to shore up, put on trestles | cjk ideograph
142517,(cant.) to save up (money), to save up bit-by-bit | cjk ideograph
142519,to search; (cant.) to scratch | cjk ideograph
142520,(cant.) to shake violently, stir; to strip | cjk ideograph
142530,(cant.) to scoop up, ladle out | cjk ideograph
142534,(cant.) to shake, rattle | cjk ideograph
142556,to waste | cjk ideograph
142600,(cant.) to throw down, fall down | cjk ideograph
142610,(cant.) to chase, drive away | cjk ideograph
142660,(cant.) to save up (money) | cjk ideograph
142668,(cant.) to goad, incite | cjk ideograph
142675,(cant.) to rush; chase someone out, drive out | cjk ideograph
142695,(cant.) to draw lines | cjk ideograph
142725,to divine; to fold | cjk ideograph
142733,(cant.) garbage | cjk ideograph
142737,(same as u+22e23 𢸣) to select, pick | cjk ideograph
142748,(cant.) to push; pull open | cjk ideograph
142752,(cant.) to take without asking | cjk ideograph
142755,to fold, double | cjk ideograph
142756,(cant.) to pester, nag; to wallow; to roll around on the floor | cjk ideograph
142767,(cant.) to pull, turn | cjk ideograph
142798,to visit; honor | cjk ideograph
142820,to expel, reject | cjk ideograph
142830,(cant.) to poke, nudge; stretch out | cjk ideograph
142883,to select, pick | cjk ideograph
142929,(cant.) to widen with force | cjk ideograph
142987,(cant.) to stitch together, quilt | cjk ideograph
143006,handle | cjk ideograph
143027,to push, pull, port the helm; (cant.) to hold to, cling to; to cock a gun | cjk ideograph
143160,small | cjk ideograph
143220,(cant.) to poke, jab | cjk ideograph
143378,to enter abruptly, a nod | cjk ideograph
143560,hack | cjk ideograph
143641,a sign for a tavern or shop | cjk ideograph
143842,to try fruit, etc., in the sun | cjk ideograph
143848,dark | cjk ideograph
143966,white, clear | cjk ideograph
144262,animals with short hair | cjk ideograph
144308,stump of a tree | cjk ideograph
144322,place name | cjk ideograph
144331,leaf | cjk ideograph
144372,(cant.) a kind of fruit | cjk ideograph
144382,(j) non-standard variant of 材 u+6750, material, stuff; timber; talent; (cant.) a peg, row of pegs | cjk ideograph
144449,to leap, skip | cjk ideograph
144577,print | cjk ideograph
144588,a well-sweep | cjk ideograph
144618,abandon | cjk ideograph
144680,(cant.) to be entangled, twisted; (of alcohol and tobacco) to be strong | cjk ideograph
144691,rattle | cjk ideograph
144700,a cane, rod, pole, staff | cjk ideograph
144789,(cant.) the back of a chair for one to lean against | cjk ideograph
144919,a tree a thousand feet high | cjk ideograph
144922,(cant.) a bar; to bolt, lock | cjk ideograph
144934,ebony | cjk ideograph
145045,(cant.) to wave, beckon with the hand | cjk ideograph
145082,(cant.) a young chicken | cjk ideograph
145388,same as 欄 u+6b04, a railing, balustrade; an animal pan | cjk ideograph
145393,zelkova tree | cjk ideograph
145469,same as 欛 u+6b1b, a handle | cjk ideograph
145598,treat; sum; item | cjk ideograph
145858,(cant.) untidy | cjk ideograph
145887,confused | cjk ideograph
145967,die | cjk ideograph
146037,funeral | cjk ideograph
146080,to attack | cjk ideograph
146101,palace; rear | cjk ideograph
146106,gauze | cjk ideograph
146114,hub, car; push | cjk ideograph
146117,tremble; rough; wrestle | cjk ideograph
146123,a kind of tree | cjk ideograph
146439,down | cjk ideograph
146615,(cant.) sticky; not smooth; slow | cjk ideograph
146664,to store up, pile up | cjk ideograph
146684,(cant.) salivating | cjk ideograph
146707,北𣴓省, bắc kạn province in northern vietnam | cjk ideograph
146834,abyss | cjk ideograph
147273,to soak; delay | cjk ideograph
147325,floods (of tears) | cjk ideograph
147571,river name | cjk ideograph
147702,swept away, as by a flood; soaked, saturated; to settle, as with alum; to strain; to drain off | cjk ideograph
147853,red; communist, 'red'; bare | cjk ideograph
147875,(cant.) to cook in boiling water | cjk ideograph
147966,brilliant | cjk ideograph
148114,(cant.) to scald with boiling water | cjk ideograph
148237,(cant.) to fry | cjk ideograph
148309,to gather wood for a burnt sacrifice to heaven | cjk ideograph
148320,hot (in temperature) | cjk ideograph
148324,a flaming explosion, a flash | cjk ideograph
148401,to make chowder | cjk ideograph
148466,to set on fire | cjk ideograph
148565,smoke, fog, vapor; smoke, cure | cjk ideograph
148691,smoky or burning smell | cjk ideograph
148756,to govern | cjk ideograph
148845,to get hold of, take | cjk ideograph
148847,a syrupy liquid | cjk ideograph
148936,(cant.) to squeeze in, to stuff in | cjk ideograph
148997,a very young child | cjk ideograph
149016,cattle, domestic animals | cjk ideograph
149108,(cant.) gore | cjk ideograph
149295,(cant.) to bite | cjk ideograph
149342,a lemur of the genus cynocephalus | cjk ideograph
149477,dog | cjk ideograph
149521,sea otter | cjk ideograph
149566,lynx, wildcat | cjk ideograph
149614,a kind of monkey | cjk ideograph
149653,to ruin; to tire of; to explain | cjk ideograph
149674,to hunt | cjk ideograph
149733,dark; mystic | cjk ideograph
149847,a kind of gem; diamond | cjk ideograph
149903,turquoise | cjk ideograph
149978,turquoise | cjk ideograph
150249,(same as u+73b2 玲) tinkling of jade pendants | cjk ideograph
150299,a gourd | cjk ideograph
150400,pottery | cjk ideograph
150440,to grind; a hull; a mill | cjk ideograph
150445,a jug for boiling congee | cjk ideograph
150515,same as 甦 u+7526 to be reborn; to resuscitate, revive | cjk ideograph
150535,prepare | cjk ideograph
150549,channels | cjk ideograph
150557,channels | cjk ideograph
150561,farmers | cjk ideograph
150636,to clear land | cjk ideograph
150800,thunder | cjk ideograph
150804,foot (obs.); bale | cjk ideograph
150831,ulcer | cjk ideograph
150874,humpback | cjk ideograph
150968,(cant.) a scar | cjk ideograph
150983,(cant.) severe pain | cjk ideograph
151018,(cant.) impatient, restless | cjk ideograph
151019,(cant.) a prickling pain, ache | cjk ideograph
151045,suffer | cjk ideograph
151099,(cant.) a scar, scab; and, with | cjk ideograph
151120,(cant.) a knot | cjk ideograph
151187,suppurating ulcer; to restrain | cjk ideograph
151207,(cant.) annoyed | cjk ideograph
151226,to suffer | cjk ideograph
151256,rash; addiction, craving, habit | cjk ideograph
151490,(cant.) unattractive, pale | cjk ideograph
151502,to split | cjk ideograph
151530,(cant.) wrinkled, crumpled | cjk ideograph
151596,(cant.) a scar | cjk ideograph
151633,to clean | cjk ideograph
151634,(cant.) warped | cjk ideograph
151635,a small bowl | cjk ideograph
151637,compassionate; to feed a prisoner | cjk ideograph
151681,salt | cjk ideograph
151721,covered vessel | cjk ideograph
151822,(cant.) to pull, lift up | cjk ideograph
151848,to look at | cjk ideograph
151851,(cant.) to stare, peep at | cjk ideograph
151860,looking about eagerly | cjk ideograph
151880,(cant.) to look, scan | cjk ideograph
151903,bopeep, peekaboo | cjk ideograph
151904,(cant.) to fix one's eyes on, gaze at | cjk ideograph
151934,(cant.) to peek or peep at | cjk ideograph
152035,(cant.) to glance | cjk ideograph
152095,blind; no pupil in the eye | cjk ideograph
152114,(cant.) to keep a close eye on, to control | cjk ideograph
152118,(cant.) sound asleep | cjk ideograph
152181,blurred eyes | cjk ideograph
152204,(cant.) wrinkled, folded, creased, crumpled | cjk ideograph
152210,near-closed | cjk ideograph
152217,(cant.) to peep at, look at secretly | cjk ideograph
152263,(cant.) to open the eyes wide | cjk ideograph
152268,to glance at, catch sight of | cjk ideograph
152280,(cant.) to sweep the eyes over something | cjk ideograph
152287,to wink | cjk ideograph
152347,(cant.) to gaze greedily at | cjk ideograph
152600,a stone, rock | cjk ideograph
152606,a crude saltpeter | cjk ideograph
152674,boron (obsolete; see u+787c 硼) | cjk ideograph
152682,impure ammonium chloride | cjk ideograph
152720,tearing sound | cjk ideograph
152831,stone roller, weight | cjk ideograph
152832,roar, crash | cjk ideograph
152846,cape; spit; promontory | cjk ideograph
152881,(cant.) to slip | cjk ideograph
152885,variant of u+78c1 磁, magnetic; magnetism; porcelain | cjk ideograph
152895,(cant.) classifier for cannons, large guns, etc. | cjk ideograph
153356,a coat, jacket, robe | cjk ideograph
153362,to pray to the gods | cjk ideograph
153381,the duration of a dynasty or reign | cjk ideograph
153442,to take advantage of; sharp (of weapons); profitable; profit | cjk ideograph
153499,a stack, pile | cjk ideograph
153700,to shrink | cjk ideograph
153716,surname | cjk ideograph
153925,(cant.) a hole, hollow; cavity | cjk ideograph
154105,(cant.) puddle | cjk ideograph
154226,a god; to raise | cjk ideograph
154261,classifier | cjk ideograph
154327,bamboo; surname | cjk ideograph
154353,to hoard | cjk ideograph
154415,a basket | cjk ideograph
154583,bell-beam | cjk ideograph
154829,nettle | cjk ideograph
154918,flute | cjk ideograph
154919,rough mat; ugly | cjk ideograph
154970,thorns, brambles | cjk ideograph
155209,(cant.) sticky | cjk ideograph
155351,(bound form) coarsely ground maize | cjk ideograph
155354,agreeable | cjk ideograph
155359,glutinous rice | cjk ideograph
155391,to stick; sticky | cjk ideograph
155480,broken grain, bran | cjk ideograph
155599,None
155600,None
155601,None
155602,None
155603,None
155604,None
155605,None
155606,None
155607,None
155608,None
155609,None
155610,None
155611,None
155612,None
155613,None
155614,None
155615,None
155616,None
155617,None
155618,None
155619,None
155620,None
155621,None
155622,None
155624,None
155626,None
155627,None
155628,None
155629,None
155630,None
155631,None
155633,None
155634,None
155635,None
155636,None
155639,None
155655,the past; a classic | cjk ideograph
155799,(cant.) to tighten | cjk ideograph
155813,(cant.) to drop down | cjk ideograph
155906,girdle; zone | cjk ideograph
156063,tangled | cjk ideograph
156079,confused | cjk ideograph
156230,to break off; a potsherd, a flaw | cjk ideograph
156248,(cant.) a cooking pot, cooker | cjk ideograph
156313,net | cjk ideograph
156319,net | cjk ideograph
156417,a net | cjk ideograph
156521,a ram | cjk ideograph
156679,the sound of wings, whir | cjk ideograph
156680,to fly, soar | cjk ideograph
156855,senility | cjk ideograph
156974,surname | cjk ideograph
156995,big ears; laozi | cjk ideograph
157000,small | cjk ideograph
157010,to spy, peep | cjk ideograph
157119,(cant.) to hang down; to lower one's head | cjk ideograph
157120,earring | cjk ideograph
157225,(cant.) chin | cjk ideograph
157301,the wrist; universal joint | cjk ideograph
157302,thighs, rump, leg; division; share of stock | cjk ideograph
157308,a putrid carcase | cjk ideograph
157331,fat | cjk ideograph
157334,(cant.) to wink | cjk ideograph
157351,county name | cjk ideograph
157391,buttocks | cjk ideograph
157402,oily | cjk ideograph
157462,to stretch, spread | cjk ideograph
157537,the side of the body | cjk ideograph
157603,rank; rancid; fetid | cjk ideograph
157644,muscle | cjk ideograph
157668,viands, delicacies | cjk ideograph
157766,(cant., vulg.) anus | cjk ideograph
157834,(cant.) blister | cjk ideograph
157836,an abortion, miscarriage | cjk ideograph
157843,(cant.) mole on skin | cjk ideograph
157895,(cant.) buttocks | cjk ideograph
157917,chin | cjk ideograph
157918,chin | cjk ideograph
157937,mysterious, occult | cjk ideograph
157966,a marsh, pool; high; the fifth month | cjk ideograph
157990,(cant.) a smell, scent | cjk ideograph
158023,come to; complete | cjk ideograph
158043,stick in, ram | cjk ideograph
158063,to learn | cjk ideograph
158105,variant of 挙 u+6319, to raise, lift up; to recommend | cjk ideograph
158177,blaze | cjk ideograph
158194,(cant.) to dribble, spit; to pester, nag | cjk ideograph
158202,(cant.) to lick, lap up | cjk ideograph
158344,(cant.) to kneel | cjk ideograph
158761,distress | cjk ideograph
158788,mushroom | cjk ideograph
158804,castor oil plant | cjk ideograph
158806,wolfsbane | cjk ideograph
158903,to arrive, enter | cjk ideograph
159055,to bury | cjk ideograph
159154,cardamom seeds | cjk ideograph
159197,to cut grass; hay | cjk ideograph
159388,to weed; a plant | cjk ideograph
159440,(cant.) to fry in oil | cjk ideograph
159535,dock | cjk ideograph
159562,a chestnut horse | cjk ideograph
159801,sugar cane | cjk ideograph
160056,asparagus | cjk ideograph
160178,sacrificial vessel | cjk ideograph
160339,grubs; to destroy | cjk ideograph
160389,(cant.) frog, toad | cjk ideograph
160437,rainbow | cjk ideograph
160438,(cant.) insect sting | cjk ideograph
160458,(cant.) a large butterfly | cjk ideograph
160461,to sting, a sting | cjk ideograph
160486,(cant.) a dragonfly; a small boat without a sail | cjk ideograph
160519,(cant.) a large butterfly | cjk ideograph
160531,a grasshopper, locust | cjk ideograph
160773,maggots, centipedes | cjk ideograph
160802,an oyster | cjk ideograph
160836,locust | cjk ideograph
160973,pearl oyster | cjk ideograph
161103,restless; limp | cjk ideograph
161140,(cant.) a pimple, an insect bite | cjk ideograph
161239,same as 衄 u+8844, a nosebleed | cjk ideograph
161268,a raised path | cjk ideograph
161271,(j) non-standard variant of 術 u+8853, art, skill, special feat; method | cjk ideograph
161282,to rush at, dash against | cjk ideograph
