13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
13442,to bestow; to grant, to act; to do, quiet; still, peace; tranquility | cjk ideograph
13443,(same as 貳) capital form of two, a second job, to harbour doubts; to hesitate, to revolt | cjk ideograph
13444,brittle and friable, fear; dread; fright; scare | cjk ideograph
13445,to unbind the collar | cjk ideograph
13446,(same as 歙) to gather the harvest; to gather together | cjk ideograph
13447,(same as 憮) to skip about; to dance for joy; to soothe, slow, disappointed | cjk ideograph
13448,dangerous; lofty; steep; high and dangerous | cjk ideograph
13449,(same as 惝) alarmed; agitated | cjk ideograph
13450,loquacious | cjk ideograph
13451,a servant; a menial, a woodcutter | cjk ideograph
13452,(ancient form of 煢) along; desolate; orphaned | cjk ideograph
13453,(interchangeable u+50ab 儽) utterly weary in body and spirits; negligent; lax | cjk ideograph
13454,evil, wicked, wrong, foul | cjk ideograph
13457,grow up, commodity prices | cjk ideograph
13458,(same as 僕) a slave; a servant, used conventionally for oneself, a charioteer | cjk ideograph
13459,to escape; to abscond; to flee, (interchangeable 達) | cjk ideograph
13460,to shake one's head, ugly, not in peace | cjk ideograph
13461,unyield | cjk ideograph
13462,(same as 藕) the root-stock of the lotus; arrowroot | cjk ideograph
13463,(a variant of 儓) a servant | cjk ideograph
13465,to hand or bow the head; to droop; to lower, low; beneath | cjk ideograph
13466,(same as u+7a69 穩) firm; stable; secure, dependent upon others | cjk ideograph
13467,to stand alone; independent | cjk ideograph
13468,respectful; attentive, carefully; cautious; to heed; to be watchful, to rely on; to trust to; to lean towards | cjk ideograph
13469,to deceive; artful; false | cjk ideograph
13470,valiant; brave, eminent | cjk ideograph
13471,(same as 褭) with a charming; slim carriage (of a woman), pretty | cjk ideograph
13472,narrow; contracted, quickly; fast; hasty; soon; promptly | cjk ideograph
13473,name of a person | cjk ideograph
13476,to have one's heart won; to submit, admire, etc. sincerely and willingly, (interchangeable 懾) to fear; to dread; to be scared of | cjk ideograph
13477,an immortal | cjk ideograph
13478,(same as 儡) puppets, very tired; fatigued; weary and weak | cjk ideograph
13479,(same as 儷) a pair; a couple, luxuriant; lush; exuberant | cjk ideograph
13480,(ancient form of 仙) an immortal; a fairy; a genie | cjk ideograph
13481,(same as 梴 裸) naked, to strip; to unclothe | cjk ideograph
13482,(ancient form of 錫) tin; pewter | cjk ideograph
13483,(ancient form of 旡) choked and unable to breath | cjk ideograph
13485,(same as 昆) an elder brother | cjk ideograph
13488,(a variant, seal type of u+5168 全) perfect, complete, absolute | cjk ideograph
13490,(a variant of 財) wealth; property; valuables, bribes | cjk ideograph
13491,(ancient form of 兩) two, a pair; a couple; both | cjk ideograph
13492,to come; to go out | cjk ideograph
13493,(same as 貌) manner; appearance; form; face; bearing | cjk ideograph
13494,(ancient form of 公) public; open to all | cjk ideograph
13495,(simple form of u+8208 興) to prosper, to begin, to increase; to rise; to raise, flourishing | cjk ideograph
13496,(same as u+9042 遂) to obey; to comply with; to follow the wishes of another, (an ancient form of u+6b72 歲) a year, age, the harvest | cjk ideograph
13497,(non-classical of 顛) to upset; to turn over, to fall, upside down | cjk ideograph
13498,old variant of 罔[wang3] | cjk ideograph
13499,(same as 冒) to go forward with eyes covered, to risk, to rush upon, to put forth, to issue forth | cjk ideograph
13500,average; equivalent; corresponding, to cover something carefully and tightly without a break; (cant.) blocked | cjk ideograph
13501,a kind of cap for children | cjk ideograph
13502,a kind of wrapper used to cover over the face and head | cjk ideograph
13503,a kind of turban used in ancient time | cjk ideograph
13505,a net; net-like, radical 122 | cjk ideograph
13506,(a variant of 寇) tyrannical; cruel, to rob; to plunder, banditti; thieves; highwaymen | cjk ideograph
13507,(standard form of u+8a6b 詫) to sacrifice by pouring out a libation of wine | cjk ideograph
13508,to plough; to till, black color | cjk ideograph
13509,frozen; cold | cjk ideograph
13512,sound of flying or speeding | cjk ideograph
13513,ice; icicles, cold; frost, crystallized | cjk ideograph
13514,cold, indifferent | cjk ideograph
13515,to freeze; to congeal; to curdle | cjk ideograph
13516,bitterly cold | cjk ideograph
13518,cold, cold air, bitterly cold | cjk ideograph
13519,bitterly cold | cjk ideograph
13520,to rain, cold; wintry | cjk ideograph
13521,cold | cjk ideograph
13523,thin ice | cjk ideograph
13524,(same as 謝) faded and fallen -- as blossoms; withered | cjk ideograph
13526,bitterly cold, cold wind; the north wind | cjk ideograph
13527,(non-classical of 潔) clean; pure; clear | cjk ideograph
13528,(same as u+738a 玊) jade with some defects, a lapidary, to polish gems; a surname | cjk ideograph
13529,(non-classical of 凶) cruel, unfortunate, sad | cjk ideograph
13530,a sickle, a reaping-hook, to gather in the harvest, to pare; to scrape | cjk ideograph
13531,(incorrect form of 功) merit; achievement; meritorious, efficacy; good results | cjk ideograph
13532,(corrupted form of 幼) young; immature; weak; delicate | cjk ideograph
13533,(same as 刑) a law, to punish; punishment | cjk ideograph
13534,to engrave, (interchangeable with u+5951 契) a written contract or agreement | cjk ideograph
13535,to peel, to pare, to trim, to split, (non-classical form) to open; to unroll; to spread out | cjk ideograph
13536,(same as 玷) a flaw; a defect, to cut with a sword; to chop | cjk ideograph
13537,(same as 弣) the middle part of a bow; the handle of a bow, try to dig and get something with a knife | cjk ideograph
13538,to cut the flesh from the bones; to scrape off; to pick out; to get rid of | cjk ideograph
13539,to sink into; to pierce, (ancient form of 割) to cut; to hack; to reap | cjk ideograph
13540,to strip the skin of the face; an imminent calamity, to engrave; (cant.) to pierce | cjk ideograph
13541,(dial.) to kill; to slaughter | cjk ideograph
13542,to deliberate and plan; to arrange | cjk ideograph
13543,agricultural implements | cjk ideograph
13544,(same as 刺) to pierce; to stab; to irritate; to hurt | cjk ideograph
13545,horned hair | cjk ideograph
13546,(same as 朗) bright, clear, intelligent, light, brilliant, to understand, to illustrate, to cleanse | cjk ideograph
13548,(same as 刳) to cut open; to rip up; to cut out | cjk ideograph
13549,(same as u+97a8 鞨) to make ready the leather for shoes | cjk ideograph
13550,(same as 雕) to engrave; to carve; to tattoo | cjk ideograph
13551,(same as 劙) to divide, to partition, to cut; to hack; to reap | cjk ideograph
13552,(a variant of 劃) to rive; to divide; to mark; to cut | cjk ideograph
13553,to cut; to cut out; to pick out; to scoop out, (same as 鄃) name of a county in today's shandong province | cjk ideograph
13554,to pare; to cut into slices | cjk ideograph
13555,use knife to split something | cjk ideograph
13556,to cut in two, to slash | cjk ideograph
13557,(same as 鍔) swords; a double-edged sword | cjk ideograph
13558,(same as 鍥) to carve; to engrave; to cut; to oppress, a sickle | cjk ideograph
13559,(same as 劓) to cut off the nose; cut off | cjk ideograph
13560,(same as 斲) to cut to pieces; to hack; to chop or hew, to carve for ornaments | cjk ideograph
13561,(same as 銳) a sharp-pointed weapon, acute; zealous; valiant, wound, minor injury | cjk ideograph
13562,castration, to pare; to scrape; to sharpen to a point | cjk ideograph
13563,(same as 剛) tough; unyielding; inflexible; hard | cjk ideograph
13564,an incised wound; cuts | cjk ideograph
13565,a kind of farm tool; iron spade; spade | cjk ideograph
13566,to wound the skin; to cut open; to open out, ripped | cjk ideograph
13568,(non-classical form) to brand criminals on the face, to rob; to plunder | cjk ideograph
13569,a kind of tool; a hook; a barb; a sickle | cjk ideograph
13570,to pare; to pare away; to scrape; to sharpen to a point; to shave; to brush away | cjk ideograph
13571,(same as 絕) to cut short; to break off; to interrupt, to drag; to pull | cjk ideograph
13572,thin, small cut | cjk ideograph
13573,to cut; to hack; to reap, minced meat mixed up with ginger and cassia | cjk ideograph
13574,to cut; to hack; to reap; to trim or clip, to stab; to pierce; to brand | cjk ideograph
13575,(same as u+93fa 鏺) a kind of farm tool; a reaping-hook; used to cut grass | cjk ideograph
13577,to dig; to excavate | cjk ideograph
13578,to cut; to hack; to reap, to strike; to attack, to chastise rebels | cjk ideograph
13579,cut into thin slices; to mince, sharp | cjk ideograph
13580,to cut off; to mince, to cut up firewood | cjk ideograph
13581,a hinged shear or long knife for cutting fodder; sheet-iron; etc., to cut up; to mince | cjk ideograph
13582,to cut apart; to divide | cjk ideograph
13583,(same as 剆) to cut open, to strike against; to clash together | cjk ideograph
13584,(corrupted form) to cut; to mince | cjk ideograph
13585,(same as u+34fc 㓼) an incised wound; cuts | cjk ideograph
13586,to cut; to cut out; to pick out; to scoop out, to cut short; to spare | cjk ideograph
13587,to stammer | cjk ideograph
13589,with purpose; with ambition; with the determination and courage to get ahead | cjk ideograph
13591,strong; healthy, to clasp under the arm, to persecute; to oppress, vigorous | cjk ideograph
13592,(same as 黜) to degrade; to dismiss, to reject; to dispel | cjk ideograph
13593,great strength; great power | cjk ideograph
13594,to exert oneself; to make strenuous effort | cjk ideograph
13596,(non-classical form of 勃) sudden; suddenly; quick; to change as the countenance | cjk ideograph
13597,strong resistance; lazy, reluctant | cjk ideograph
13598,vigorous; with great strength | cjk ideograph
13600,industry, sound of making strenuous efforts | cjk ideograph
13601,greatly; deeply, with great strength; vigorous | cjk ideograph
13602,to break something, to drag; to pull | cjk ideograph
13603,in ancient times to fight against the enemy by pushing down the big rocks from up high; to throw over, to urge; to exert oneself, to carry in the bosom | cjk ideograph
13604,to exert one's strength | cjk ideograph
13605,(non-classical form of 疲) full of anger; fierce anger, tired; weary; exhausted | cjk ideograph
13606,to encourage; to stimulate; to exhort to action; to encourage by rewards | cjk ideograph
13607,to incite; to urge, to aid; to help; to assist, to approve; to acquiesce | cjk ideograph
13608,name of a person | cjk ideograph
13609,hair ornaments used in old time | cjk ideograph
13610,to crawl; to crawl on hands and knees | cjk ideograph
13612,(ancient form of 卓) to establish, to surpass, eminent; lofty; profound | cjk ideograph
13613,(same as 匙) a spoon, a key | cjk ideograph
13614,a kind of animal which looks like a rat | cjk ideograph
13615,(same as 匴) a large basket for holding cooked rice, a kind of tray made of bamboo used in ancient time | cjk ideograph
13616,(ancient form of 恆) constant; regular; continually; persevering | cjk ideograph
13617,(same as 庾) a stack of grain, a measure of 16 dǒu | cjk ideograph
13619,(ancient form of 簋) a square basket of bamboo for holding grain used at sacrifices, feasts, etc. | cjk ideograph
13620,agricultural implement; farm tools, a big sacrificial vessel; a tripod of bronze with two ears; a caldron | cjk ideograph
13621,a kind of vessel | cjk ideograph
13622,a small cup, a box; a chest, a granary, cover of a vessel | cjk ideograph
13623,(ancient form of 陋) to secrete; to hide, a kind of basket | cjk ideograph
13624,(interchangeable 榹) a tray; a kind of dumbwaiter | cjk ideograph
13625,(standard form of 仂) a surplus or excess, a tithe, a great stock of merit | cjk ideograph
13626,(ancient form of 世) an age, a generation of thirty years, from generation to generation | cjk ideograph
13627,(same as 丕) great; distinguished | cjk ideograph
13628,(non-classical form of 榫) to fit into, a tenon, connected | cjk ideograph
13629,(non-classical form of 卣) a kind of wine pot or jar used in ancient time | cjk ideograph
13630,(same as u+7b44 筄) last name; kangxi radical 26; a joint, a seal, (ancient form of 節) | cjk ideograph
13631,a tally, like fitting the two halves of a tally, to petition the emperor that ..., to play music; to beat time | cjk ideograph
13633,(non-classical form of 卻) still; but; yet; etc., to refuse to accept, to retreat; to withdraw | cjk ideograph
13634,(ancient form of 吟) to hum; to intone, to moan, to sigh, high ridges of cliffs, pebble ground | cjk ideograph
13635,to fall over; rolling on the ground | cjk ideograph
13636,(same as 厎 砥) to apply knowledge to final causes; to extend knowledge to the utmost, equally; average, smooth | cjk ideograph
13637,big; extremely; great; vast; extensive; tall | cjk ideograph
13638,fine stone; fine jade | cjk ideograph
13639,rocks collapsing (descriptive of sound), big pieces of rocks | cjk ideograph
13640,(interchangeable 庡) to linger; to walk to and from, to conceal; to cover up; to secrete; to hide; to cover over | cjk ideograph
13641,to dig a hole; to tuck in; to put the finger into | cjk ideograph
13642,to slant; intricate; describe a writer's pen, lofty rocks; protruded rocks; resolute | cjk ideograph
13643,rock land | cjk ideograph
13644,to raise the curtain, a kind of rock | cjk ideograph
13645,(same as 堆) to heap up; to pile, a heap; a pile; a mass; a crowd | cjk ideograph
13646,caves; grottos on the mountain side, collapsed in ruins; destroyed; to clash; to bump against | cjk ideograph
13647,(corrupted form of 廚) a kitchen, a sideboard with cupboard and drawers | cjk ideograph
13648,inclined; slanting, to upset; to be overthrown, to collapse, to fall flat | cjk ideograph
13649,(non-classical variant of u+53a8 厨) a kitchen, a sideboard with cupboard and drawers | cjk ideograph
13650,a lofty peak; a mountain peak | cjk ideograph
13652,(non-classical form of 廳) a hall; a court; a lodge; a room | cjk ideograph
13653,(ancient form of 幻) deception; sleight of hand; magic | cjk ideograph
13654,(ancient form of 素) plain; unornamented, white, ordinary, simple | cjk ideograph
13655,(same as 誘) to induce; to entice; to mislead; to lead on | cjk ideograph
13656,(a variant of 參) to take part in; to visit; to counsel, one of the 28 lunar mansions; ginseng | cjk ideograph
13657,a wily rabbit; a cunning hare | cjk ideograph
13658,(ancient form of 爪) claws of birds or animals, feet, to scratch, to claw, to grasp | cjk ideograph
13659,(ancient form of 友) a friend; a companion; a associate, friendly, to make friends of, brotherly regard | cjk ideograph
13660,(ancient form of 史) history; chronicles; annals | cjk ideograph
13662,(same as u+5237 刷) a brush, to brush; to clean; to scrub, to print, especially from blocks | cjk ideograph
13663,(same as 喟) to sign; to lament, to stop, to cut off; to sever; to interrupt | cjk ideograph
13664,(same as 雙) a pair; a couple, both, two, double, even | cjk ideograph
13665,(same as u+58d1 壑) the bed of a torrent; a gully, a pool | cjk ideograph
13666,profound significance, just now; then; in that case | cjk ideograph
13667,a marsh at the foot of the hills, (interchangeable 湢 沇) name of a river | cjk ideograph
13668,a proud temper, military equipment; a long spear | cjk ideograph
13669,old variant of 呻[shen1] | cjk ideograph
13670,loud; clamour; hubbub, big mouth, to brag | cjk ideograph
13671,used to represent sound; to hum; to groan | cjk ideograph
13673,(non-classical form) sound of tapping; sound of striking, opposing voices | cjk ideograph
13674,birds' chirps; gabbling, sound in high pitch; to roar; aloud | cjk ideograph
13675,(same as 仿 方) to imitate, like; resembling; according to, a measurement for sound effect | cjk ideograph
13676,public opinion, (same as u+8a1f 訟) to go to law, to dispute, to demand justice; (cant.) classifier for ears of corn | cjk ideograph
13677,(same as 咬) to bark as a dog, obscene expressions, an interjection; implying surprise | cjk ideograph
13678,to chew; to masticate, to dwell on, chinese medicine term | cjk ideograph
13679,slow-tongued; to stammer, to shout in triumph; the noise of shouting in battle | cjk ideograph
13680,sound angrily; roaring with rage, (same as 嘛) (a dialect) what; the tone implying to remind | cjk ideograph
13681,to bark (said of a dog) | cjk ideograph
13682,to gag or bribe; to satisfy one's appetite; name of an old book; (cant.) to guess, reckon mentally; to bud | cjk ideograph
13683,(of a crowd) noisy; to brawl; to scold | cjk ideograph
13686,(cant.) an expletive, exclamation | cjk ideograph
13687,(corrupted form 咟) to call, to yell, anxious, dazed, image sound, an exclamation expressing sound (such as clap hands; to fire a gun; to strike; sound of firecracker etc.) | cjk ideograph
13688,sound of rolling a boat | cjk ideograph
13689,a buckler; a shield | cjk ideograph
13690,(corrupted form of 囂) looks big outside but empty inside, to yell; voice of anger, hubbub; clamour | cjk ideograph
13691,to refuse, to repel | cjk ideograph
13692,to brawl; to scold, noise from a crowd; hubbub; noisy; loud noise | cjk ideograph
13693,a phonetic | cjk ideograph
13696,sound | cjk ideograph
13697,(non-classical form of 吝) stingy, sparing of; closefisted, to regret, to shame; to insult | cjk ideograph
13698,(same as 詍) loquacity; to talk incessantly and tediously, to laugh, joy | cjk ideograph
13699,(interchangeable 吼) to roar of animals, angry tones, (interchangeable 詬) a sense of shame; to shame, to vomit | cjk ideograph
13700,sound of calling chickens, to curse; to swear | cjk ideograph
13701,sound of a whistle, to blow | cjk ideograph
13702,to condemn; to sentence, to hold a hearing (on a legal case); to interrogate or question a prisoner, to whisper | cjk ideograph
13703,the lips; (cant.) to sip | cjk ideograph
13706,fathom | cjk ideograph
13711,angry, to scold with loud voice, to slander; to defame | cjk ideograph
13712,sound of calling ducks | cjk ideograph
13713,to shout at, (same as 欸) to backbite, to dislike, sound of oars; the creaking or swishing sound of oars or sweeps in rowing | cjk ideograph
13714,(non-classical form of 啼) to cry; to mourn; to howl, to twitter; to crow, to sneeze; a running at the nose | cjk ideograph
13715,(corrupted form) to shout; to scold with loud voice, din; noise; a confused noise | cjk ideograph
13716,silly, foolish; doting; idiotic | cjk ideograph
13717,to spit out; to blame, name of an organic compounds | cjk ideograph
13718,(standard form) to spit out; to blame, name of an organic compounds | cjk ideograph
13719,(corrupted form) high ridges of cliffs | cjk ideograph
13720,(same as u+5507 唇) to startle, to alarm; afraid; scared, to be surprised; to be amazed | cjk ideograph
13726,(simplified form of 喎) a wry mouth | cjk ideograph
13727,to deliver over to personally, to communicate orally with one's own mouth | cjk ideograph
13728,(same as 那 哪) an auxiliary (in grammar), that, there, a final particle. | cjk ideograph
13729,the birds singing during the night; (cant.) interjection to indicate the speaker is thinking | cjk ideograph
13730,(same as 飺) to reject food | cjk ideograph
13731,(same as u+5485 咅) to spit out; (cant.) the sound of spitting | cjk ideograph
13732,wrath; anger | cjk ideograph
13733,to spit; to vomit; (cant.) to gnaw (on bones) | cjk ideograph
13734,loquacity | cjk ideograph
13735,can not see clear, (ancient form of 吻) lips | cjk ideograph
13736,indistinct nasal utterance, laugh, sound of birds | cjk ideograph
13737,not pure, immodest, to urge, (same as 嗾) to set a dog on | cjk ideograph
13738,sound of surprising, to laugh loudly, to flow off, loquacious, sound; voice; tone | cjk ideograph
13739,(sound transcription) used in names for minority ethnic group in ancient china | cjk ideograph
13741,(same as 舔) to lick; to taste; (cant.) even; in addition | cjk ideograph
13742,an interjection used in poems and songs | cjk ideograph
13750,(same as 捗) to swallow; to gulp, to be choked with food, (same as 諲) respectful; venerable | cjk ideograph
13751,bird singing, (same as 啼) to cry; to mourn; to howl, to twitter; to crow | cjk ideograph
13752,(same as 噱) to laugh heartily; to roar with laughter, (in shanghai dialect) a promotional gimmick, tone (of one's speech) | cjk ideograph
13753,(non-classical form of噴) to spurt; to blow out; to puff out, to snort, sound of flowing water | cjk ideograph
13754,to blow; to breath; to puff | cjk ideograph
13755,whisper, bad language | cjk ideograph
13756,(same as 謀) to scheme; to plot; to devise, a device | cjk ideograph
13757,(corrupted form of 嘖) to call out; to make an uproar | cjk ideograph
13758,(same as 咢) to beat a drum; to startle, to argue; to debate; to dispute, (interchangeable 愕) to be surprised; to be amazed; to marvel, (interchangeable 鍔) the blade or edge of a sword, beams of a house | cjk ideograph
13759,a sound; a voice; a tone, an interjection; to hesitate; to harbour doubts | cjk ideograph
13760,(same as 呦 嚘) the bleating of the deer, sound of insects | cjk ideograph
13761,(same as 齶) the roof of the mouth, the palate | cjk ideograph
13762,to keep the mouth shut; to be careful how one speak, (non-classical form of u+7701 省) to examine; to watch; (cant.) to scour | cjk ideograph
13763,(same as 吻) the lip, the tone of one's speech, to kiss; a kiss | cjk ideograph
13764,(non-classical form of 謾) to deceive; to insult | cjk ideograph
13765,(same as 胡) angry, the throat, what? how? why? which? | cjk ideograph
13766,sound of the ringed pheasant, cackling of fowls, (same as 嗝) to gag, to vomit, (a dialect) an auxiliary verb (almost same as 的) | cjk ideograph
13767,to swallow; to gulp, an auxiliary; usually at the end of a sentence to beg or request for something | cjk ideograph
13768,(same as 曼) long; extended, large | cjk ideograph
13769,incisive, (the large seal type 籀) to brand criminals on the face, to rob; to plunder, an edge, a two-edged weapon; a sword | cjk ideograph
13770,public opinion; clamour; noise, (ancient form of 雷); thunder, an organic compound (porphin); (porphyrins) | cjk ideograph
13771,(standard form of 喉) the throat; the gullet; guttural | cjk ideograph
13772,(non-classical form) to scold with loud voice, to talk out of control; loquacious | cjk ideograph
13773,(non-classical form) to gnaw; to bite; to masticate, sound of biting | cjk ideograph
13774,(cant.) final particle indicating emphasis or surprise; phonetic | cjk ideograph
13778,(in grammar) interjection; to express sadness; sorrow and emotional excitement | cjk ideograph
13779,mouthful | cjk ideograph
13780,(a dialect) joy; happiness | cjk ideograph
13781,(same as 雊) the crowing of a pheasant, loud and noise | cjk ideograph
13782,(non-classical form of 啗) to eat; to chew; to bite. to entice; to lure, to contain; to, comprise | cjk ideograph
13783,to separate; to part, to split; to crack, to rend; to rip open | cjk ideograph
13784,to bite the hard and solid food | cjk ideograph
13785,to shout or bawl, talking manner of a mean person, (same as 謅) to jest; to joke; to quip | cjk ideograph
13786,vexingly verbose or wordy; prosy; complicated; annoying | cjk ideograph
13787,(same as 笑) to laugh; to smile, to laugh at; to ridicule | cjk ideograph
13788,(same as 嗅) to smell, to scent | cjk ideograph
13794,loquacious, the sound of singing, to sing in a loud voice, loud | cjk ideograph
13795,(same as 嚏) to sneeze; a running at the nose | cjk ideograph
13796,ashamed, restless; fidgeting; (a dialect) bashful, grievous; mournful; sad | cjk ideograph
13797,sound of striking, slow expiration of the breath, a deep sign | cjk ideograph
13798,a loud and confused noise | cjk ideograph
13799,to scold with loud voice, to talk out of control; loquacious | cjk ideograph
13800,to laugh; to smile, to laugh at; to ridicule, sound of laughter | cjk ideograph
13801,sound made when cold (brrr); to endure cold | cjk ideograph
13802,(corrupted form) mouthful | cjk ideograph
13803,to whisper; to talk in a soft and low voice | cjk ideograph
13804,thick lips, to talk slowly | cjk ideograph
13805,a sound; an echo | cjk ideograph
13808,used in transliteration; the traditional drama of vietnam; (cant.) all, entire, completely | cjk ideograph
13809,to suck; to chew, to smear the mouth with the blood of a victim when taking an oath | cjk ideograph
13810,to call; to summon; (cant.) eloquent | cjk ideograph
13811,forgetful; having a bad memory, disgraced; shy; sensitive to shame; ashamed; (cant.) to lower one's head | cjk ideograph
13812,dogs fighting, to go to law; an indictment | cjk ideograph
13813,breath, air, steam, not clear; not quite sure | cjk ideograph
13814,to expel the breath | cjk ideograph
13815,(simplified form) to eat; to bite; to gnaw, a dialect, usually used at the end of a sentence | cjk ideograph
13819,baby's answering, (baby talk) eat; (cant.) a particle implying doubt; slow, troublesome | cjk ideograph
13820,eating or talking, moving of the mouth | cjk ideograph
13821,(standard form 響) an echo; to answer; to consent, noise; sound, to make a noise | cjk ideograph
13822,to give vent to the feelings; (cant.) to hiss, boo, jeer | cjk ideograph
13823,to laugh loudly, to blame; to reprimand, entrance to a cave or to a gorge | cjk ideograph
13824,to sound, a sound, the cry of a bird or animal | cjk ideograph
13825,to call; to scream; to whistle, name of a stream | cjk ideograph
